order_id,ma_don,ma_cua_hang,ngay,ten_khach,so_dien_thoai,thanh_tien,nhan_vien,ghi_chu
78,HD00004,MM016,4-10-25,Dương Xuân Giang,0934624375,17091000,Anh Trung,
79,HD00007,MM019,,Vũ Đức Huy,0348558999,43470000,Chị Sơn,Khách hẹn lấy sau
80,MM020-0003,MM020,29/01/2026,Vũ Thị Phong,0816 163 927,11990000,Anh Hiếu,Trả góp 0%
81,HD00005,MM003,08/08/2025,Đặng Tuấn Lâm,0915949212,10830500,Chị Hiếu,
82,MM005-0001,MM005,28/04/2025,Hồ Đức Dung,0881637948,24760000,Chị Cường,
83,MM014-0006,MM014,20/08/2026,Hồ Đức Dung,0881637948,37980000,Chị Cường,Khách hẹn lấy sau
84,HD00002,MM005,2026.06.19,Đỗ Minh Giang,0852020862,3490000,Chị Sơn,Khách hẹn lấy sau
85,MM013-0005,MM013,2024.07.27,Đỗ Minh Giang,0852020862,712500,Chị Lâm,
86,MM004-0005,MM004,14-7-26,Phạm Thị Đạt,0838544001,190000,Anh Đạt,Trả góp 0%
87,HD00005,MM022,18/05/2025,Nguyễn Văn Tâm,0789 523 527,8541000,Chị Ngân,
88,HD00002,MM011,23/03/2025,Ngô Hoài Quyên,0893236805,55980000,Anh Phong,Khách hẹn lấy sau
89,HD00005,MM006,2026.06.01,Ngô Hoài Quyên,0893236805,8541000,Chị Long,Đã xuất hóa đơn VAT
90,HD00005,MM009,03/11/2025,Đặng Xuân Nga,0797504171,2990000,Chị An,Trả góp 0%
91,HD00001,MM007,26/05/2025,Đặng Xuân Nga,84797504171,4740500,Anh Khoa,Trả góp 0%
92,MM020-0004,MM020,4-7-24,Lý Hữu Cường,0885394601,5990000,Anh Trung,
93,HD00006,MM021,24/11/2024,Trần Xuân Dung,0896613967,450000,Anh Tú,Trả góp 0%
94,MM014-0007,MM014,3-5-25,Trần Xuân Dung,0896613967,5990000,Anh Đạt,
95,HD00004,MM024,19/05/2026,Trần Xuân Dung,0896613967,22990000,Anh Long,Khách hẹn lấy sau
96,HD00002,MM008,24/03/2025,Bùi Đức Tú,84869239488,27990000,Chị Hiếu,
97,HD00003,MM011,21/08/2026,Bùi Đức Tú,0869 239 488,12980000,Anh Hoa,Trả góp 0%
98,MM008-0003,MM008,22-12-24,Vo Tuan Khoa,84971174480,43460000,Chị Huy,
99,MM005-0003,MM005,10/02/2026,Võ Tuấn Khoa,0971174480,288000,Chị Vy,
100,HD00007,MM021,28/12/2025,NGUYỄN XUÂN HUY,0780162792,4040500,Chị Huy,
101,MM020-0005,MM020,01/10/2025,Ngô Bảo Lan,0893900846,21582000,Chị Long,
102,HD00008,MM014,05/01/2026,Huỳnh Xuân Hải,0360403904,2990000,Anh Thu,
103,MM015-0004,MM015,08/09/2024,Huỳnh Xuân Hải,0360403904,6490000,Chị Linh,
104,MM011-0004,MM011,5-8-26,Huỳnh Xuân Hải,0360403904,3490000,Chị An,
105,MM002-0004,MM002,20-2-25,Vũ Thị Phúc,0394664685,63980000,Chị Yến,
106,MM023-0006,MM023,05/09/2025,Hoàng Đức Khánh,0916182665,9990000,Anh Huy,
107,MM012-0004,MM012,03/09/2024,Hoàng Đức Khánh,,2365500,Anh Tuyết,Đã xuất hóa đơn VAT
108,HD00005,MM011,26/03/2026,HOÀNG ĐỨC KHÁNH,0916182665,3141000,Anh Long,Khách hẹn lấy sau
109,HD00005,MM015,6-6-25,Dương Ngọc Phong,0781132124,108000,Anh Khánh,
110,HD00005,MM016,12/08/2024,Dương Ngọc Phong,0781132124,4740500,Anh Đạt,Khách hẹn lấy sau
111,HD00006,MM011,24/02/2026,Vũ Thị Bình,0398689294,56960000,Anh Bình,Khách hẹn lấy sau
112,MM012-0005,MM012,27/10/2024,Vu Thi Binh,0398689294,675000,Anh Khoa,
113,HD00006,MM009,03/09/2024,Do Hoai Phuong,,9180500,Anh Ngân,
114,MM007-0002,MM007,12-7-26,Hoàng Xuân Như,0829863443,17082000,Chị Duy,Đã xuất hóa đơn VAT
115,HD00005,MM024,22/03/2025,Vũ Đức Mỹ,84326116193,6840500,,Khách hẹn lấy sau
116,MM024-0006,MM024,23/06/2025,Đặng Văn Hà,0961599343,6490000,,
117,MM007-0003,MM007,13/08/2024,LÊ KIM THẢO,0342867370,5990000,Anh Thu,Đã xuất hóa đơn VAT
118,MM003-0006,MM003,2024.07.20,Lê Kim Thảo,0342867370,6165500,Chị Vy,
119,MM013-0006,MM013,02/11/2025,Lê Kim Thảo,0342 867 370,60000500,,
120,HD00007,MM011,2024.09.03,Lê Kim Thảo,0342867370,2365500,Anh Huy,
121,MM013-0007,MM013,14/11/2024,Huỳnh Tuấn Trung,0339642197,2990000,Chị Hiếu,
122,MM004-0006,MM004,11/07/2025,Huỳnh Tuấn Trung,0339642197,34480000,Chị Duy,Đã xuất hóa đơn VAT
123,HD00006,MM006,23/01/2026,Bùi Văn Hạnh,0324085275,450000,Anh Tú,
124,MM019-0008,MM019,31/01/2025,Ngô Thị Như,0324281328,3990000,Anh Ngân,Trả góp 0%
125,HD00005,MM001,2026.02.24,Ngô Gia Nam,0788209607,7490000,Chị Huy,Khách hẹn lấy sau
126,MM005-0004,MM005,10/10/2025,Võ Tuấn Cường,0905558662,9264500,Chị Tuyết,
127,HD00008,MM021,21/06/2026,Đặng Thị Vy,0933099361,225000,Chị Cường,Đã xuất hóa đơn VAT
128,MM015-0006,MM015,21/01/2025,Dang Thi Vy,0933099361,11551500,Chị Yến,Đã xuất hóa đơn VAT
129,HD00002,MM017,2025.11.10,Đặng Thị Vy,84933099361,3990000,Anh Bình,
130,HD00004,MM008,15/08/2026,VÕ QUANG NHƯ,0971702935,53181000,Chị Giang,Đã xuất hóa đơn VAT
131,HD00005,MM008,02/11/2024,Bùi Ngọc Dung,0883672068,190000,Chị Thắng,
132,HD00003,MM017,2025.06.19,Bùi Ngọc Dung,0883672068,7131000,Chị Mỹ,
133,MM011-0008,MM011,30-1-25,Dương Thanh Linh,0374 746 557,50382000,,
134,MM011-0009,MM011,15/12/2025,Dương Thanh Linh,0374746557,2840500,Chị Yến,Khách hẹn lấy sau
135,HD00007,MM023,3-9-25,Dương Thanh Linh,0374746557,21840500,Chị Trang,
136,HD00005,MM018,06/03/2026,Pham Van Cuong,0834188660,3790500,Anh Lan,
137,HD00006,MM016,06/08/2026,Phạm Ngọc Tuyết,0984446226,11980000,Anh Phong,
138,HD00006,MM012,15/07/2026,Võ Anh Nam,0331207854,5073000,Chị Trang,
139,HD00007,MM024,20/09/2025,Võ Anh Nam,0331207854,17091000,Chị Duy,Đã xuất hóa đơn VAT
140,HD00007,MM006,13/10/2024,Bùi Bảo Khoa,0780319010,1500000,Chị Sơn,
141,MM023-0008,MM023,06/02/2025,Bùi Hữu Huy,84932539161,32272000,Anh Mỹ,
142,HD00008,MM024,2025.03.01,Đỗ Đức Tâm,0370429750,2990000,Chị Yến,
143,HD00009,MM021,29-8-26,Bùi Kim Quyên,0331826973,4131000,Chị Trang,Trả góp 0%
144,HD00009,MM019,22/04/2025,Lý Văn Phúc,84348491269,28791000,Anh Huy,
145,HD00005,MM002,21/07/2025,Do Van Ngan,0784301245,180500,Anh Đạt,
146,HD00010,MM019,2-6-25,Đỗ Văn Ngân,0784301245,31990000,Anh Phong,
147,MM021-0010,MM021,17-2-26,Đỗ Văn Ngân,0784301245,20221000,Anh Phương,
148,HD00006,MM002,09/09/2024,Ho Duc Nga,0980609656,36990000,Anh Mỹ,Đã xuất hóa đơn VAT
149,MM021-0011,MM021,2025.11.26,Phạm Ngọc Hạnh,0844238312,14970000,Chị Hoa,Đã xuất hóa đơn VAT
150,HD00006,MM022,26/09/2025,Pham Ngoc Hanh,0844238312,4740500,Chị Hải,
151,MM016-0007,MM016,9-8-24,Pham Anh An,0882966204,8541000,Chị Vy,
152,HD00007,MM012,07/04/2026,Bùi Hữu Yến,0965975883,18990000,Chị Ngân,
153,HD00006,MM001,17/10/2024,Bùi Hữu Yến,84965975883,9490000,Chị Ngân,Đã xuất hóa đơn VAT
154,HD00008,MM006,19/05/2026,Bùi Hữu Yến,0965975883,18990000,Anh Đạt,
155,MM012-0008,MM012,20/08/2024,Bùi Hữu Yến,0965975883,1795500,Anh Khoa,
156,HD00007,MM015,2024.10.24,Ngô Bảo Linh,0830419102,3990000,Chị Trang,
157,HD00012,MM021,20/01/2025,Ngô Bảo Linh,0830419102,2990000,Chị Đạt,Đã xuất hóa đơn VAT
158,HD00009,MM023,16/06/2026,Ngô Bảo Linh,0830419102,7590500,Anh Lâm,
159,HD00008,MM016,13-7-25,Lê Kim Vy,0880014738,2490000,Chị Hải,Đã xuất hóa đơn VAT
160,MM015-0008,MM015,16/09/2025,Ngô Hoài Bình,0885174783,65470000,Chị Trang,Khách hẹn lấy sau
161,HD00008,MM013,26/08/2025,Ngô Hoài Bình,,5990000,Anh Tú,
162,HD00007,MM009,12-9-25,Ngô Hoài Bình,0885 174 783,2490000,Chị Sơn,Đã xuất hóa đơn VAT
163,HD00008,MM009,1-6-25,Dương Đức Phương,,8481000,Chị Thắng,
164,MM010-0005,MM010,08/11/2025,Duong Duc Phuong,0350380522,27990000,Chị Oanh,Trả góp 0%
165,HD00006,MM020,05/07/2026,Dương Đức Phương,0350380522,7490000,Chị Hải,
166,HD00011,MM019,11/08/2024,Bùi Tuấn Mai,0380 220 789,120000,Chị Hà,
167,HD00007,MM020,2024.12.28,Bùi Văn Linh,0815 123 033,4590000,Chị Bình,Đã xuất hóa đơn VAT
168,HD00009,MM015,25/02/2025,BÙI VĂN LINH,0815123033,18990000,Chị Linh,
169,MM014-0009,MM014,06/06/2025,Bùi Văn Linh,0815123033,7191000,Chị Nga,Trả góp 0%
170,MM022-0007,MM022,05/10/2024,Bùi Văn Linh,0815123033,1890000,Chị Hà,Khách hẹn lấy sau
171,MM017-0004,MM017,07/02/2026,Phạm Gia Duy,0933278766,16771000,Chị Cường,
172,MM022-0008,MM022,2-12-25,Phạm Gia Duy,84933278766,21582000,Anh Linh,Trả góp 0%
173,MM004-0007,MM004,19/11/2025,Ngô Hữu Trang,0794320735,27830500,Chị Hải,Trả góp 0%
174,HD00005,MM005,17/07/2026,Lý Hoài Oanh,0399778711,12665000,Chị Hải,
175,MM024-0009,MM024,27/01/2025,Nguyễn Thị Linh,0779048439,4491000,Chị Hiếu,Khách hẹn lấy sau
176,HD00004,MM007,28/02/2026,Nguyễn Thị Linh,0779048439,4990000,Anh Trung,Khách hẹn lấy sau
177,MM011-0010,MM011,15/05/2025,Ngo Minh Yen,,3790500,Anh Mỹ,Trả góp 0%
178,HD00006,MM018,6-4-25,Đặng Thị Tuyết,0788305103,750000,Anh Tuyết,
179,HD00007,MM003,28/12/2025,Phạm Kim Vinh,0792650082,66582000,Chị Mỹ,Đã xuất hóa đơn VAT
180,MM011-0011,MM011,01/09/2024,Dang Xuan Nam,0855524410,18040500,Anh Yến,Đã xuất hóa đơn VAT
181,MM010-0006,MM010,27/10/2025,Đỗ Bảo Nhung,0961008881,6510500,Chị Ngân,Khách hẹn lấy sau
182,HD00010,MM024,2025.10.31,Nguyễn Kim Mỹ,0818195139,6917500,Anh Hoa,
183,MM001-0007,MM001,12/07/2024,Nguyễn Kim Mỹ,84818195139,6490000,Anh Thảo,
184,MM007-0005,MM007,9-2-26,Vo Tuan Nam,0358601158,7590500,Anh Mỹ,
185,HD00009,MM012,2025.11.04,Huynh Minh Phuong,0899739321,4590000,Anh Yến,Đã xuất hóa đơn VAT
186,HD00010,MM014,25/10/2024,Huynh Minh Phuong,0899739321,3161000,Anh Duy,
187,HD00010,MM015,2026.08.03,Huỳnh Minh Phương,0899739321,17480000,Chị Mỹ,
188,HD00007,MM010,20/09/2024,Huỳnh Minh Phương,,1890000,Anh Trung,Khách hẹn lấy sau
189,MM010-0008,MM010,15-10-24,Đỗ Kim Giang,0862858736,46060500,Anh Trung,Trả góp 0%
190,HD00009,MM013,25/12/2024,Võ Hoài Hải,0394339352,18980000,Anh Thu,Đã xuất hóa đơn VAT
191,HD00007,MM018,27/09/2024,Phạm Hữu Thảo,0935895357,35140500,Anh Nga,Khách hẹn lấy sau
192,MM014-0011,MM014,29/12/2024,Lê Gia Nhung,0791 733 011,3490000,Anh Tú,
193,MM015-0011,MM015,28/12/2025,Tran Thanh Giang,0979887376,7490000,Chị Giang,Trả góp 0%
194,HD00006,MM008,06/04/2026,Phạm Hoài Trung,0358909043,12990000,Chị Duy,Trả góp 0%
195,MM021-0013,MM021,14/06/2025,Đỗ Kim Huy,0763082210,250000,Anh Huy,Trả góp 0%
196,HD00009,MM022,12/01/2026,Hồ Bảo Phúc,0963490330,11390500,Anh Yến,
197,MM001-0008,MM001,03/11/2024,Huỳnh Quang Tâm,0969719990,1795500,Chị Cường,
198,HD00012,MM019,09/07/2025,Phan Xuân Dung,0946857285,171000,Chị Thắng,Đã xuất hóa đơn VAT
199,HD00008,MM004,18/07/2024,Nguyễn Quang Tuyết,0966087219,190000,Anh Khánh,
200,HD00008,MM003,2024.09.10,PHAN THỊ LINH,0891714192,18990000,Anh Lan,
201,HD00006,MM005,19/01/2025,DƯƠNG BẢO QUYÊN,84330435755,31990000,Anh Yến,Đã xuất hóa đơn VAT
202,MM002-0007,MM002,14/11/2025,Dương Bảo Quyên,0330435755,36990000,Anh Huy,Trả góp 0%
203,HD00008,MM020,18-3-25,Dương Bảo Quyên,0330435755,4482000,Chị Mỹ,
204,HD00009,MM020,21/03/2026,Bui Kim Oanh,0834256751,750000,Anh Trung,
205,MM021-0014,MM021,2025.04.28,Bùi Kim Oanh,0834256751,12310000,Chị Ngân,Đã xuất hóa đơn VAT
206,HD00013,MM019,08/11/2025,Bùi Kim Oanh,0834256751,750000,Anh Tuyết,Trả góp 0%
207,MM004-0009,MM004,01/01/2026,Huỳnh Thanh Yến,0908477379,26590500,Anh Thu,
208,HD00011,MM024,17/10/2024,Lý Kim Tuyết,0326876011,9490000,Anh Yến,Trả góp 0%
209,HD00010,MM020,01/02/2025,Hoàng Thanh Quân,0961084062,27990000,Anh Hoa,
210,MM001-0009,MM001,20-11-25,HOÀNG THANH QUÂN,,27990000,Chị Nga,
211,HD00012,MM024,2024.10.07,Hoàng Thanh Quân,0961084062,36730500,Chị Hà,
212,MM004-0010,MM004,17/04/2026,Hoàng Thanh Quân,84961084062,190000,Anh Nga,Đã xuất hóa đơn VAT
213,MM013-0010,MM013,10-5-26,VŨ GIA DUNG,0357438131,6490000,Chị Ngân,
214,HD00010,MM022,02/10/2024,Vũ Gia Dung,0357438131,1890000,Chị Huy,Đã xuất hóa đơn VAT
215,HD00012,MM011,7-9-24,Vũ Gia Dung,0357438131,55980000,Anh Lan,
216,MM002-0008,MM002,03/10/2025,Trần Minh Đạt,0398961437,7990000,Anh Tuyết,
217,HD00013,MM024,19-8-25,Huỳnh Đức Hiếu,0898143820,7990000,Chị Duy,Khách hẹn lấy sau
218,MM004-0011,MM004,2025.11.22,Phạm Kim Phúc,0344564027,15421000,Anh Thảo,
219,HD00009,MM006,24/10/2024,Dương Quang Trung,0323870595,24370500,Anh Lâm,Trả góp 0%
220,HD00009,MM010,23/02/2026,Ngô Tuấn Vy,0362521810,26590500,Anh Tú,
221,MM023-0010,MM023,28/12/2025,Tran Quang An,0938370986,2990000,Chị Cường,
222,MM012-0010,MM012,27/09/2024,Trần Quang An,0938370986,28395000,Anh Thu,Đã xuất hóa đơn VAT
223,HD00008,MM018,31/05/2025,Trần Quang An,0938370986,36990000,Chị Sơn,
224,HD00006,MM007,12/09/2025,Le Bao Khoa,0939102203,11990000,Chị Cường,Đã xuất hóa đơn VAT
225,HD00011,MM013,21/11/2025,Lê Bảo Khoa,0939102203,16580000,Anh Mai,Khách hẹn lấy sau
226,HD00010,MM001,26-1-25,LÊ BẢO KHOA,0939102203,14480500,Anh Tú,
227,HD00010,MM010,2025.11.27,Lê Bảo Khoa,0939102203,9490000,Chị Tuyết,Trả góp 0%
228,HD00009,MM018,01/07/2025,Dang Duc Dat,0349 394 262,6490000,Chị Mỹ,
229,HD00012,MM015,20/07/2024,Đặng Đức Đạt,0349394262,5391000,Anh Đạt,
230,HD00014,MM019,27/07/2024,Phạm Quang Linh,0396502647,2241000,Chị An,Khách hẹn lấy sau
231,MM020-0011,MM020,22-1-25,Do Thi Hanh,,73980000,Anh Phương,Đã xuất hóa đơn VAT
232,MM008-0007,MM008,24/07/2026,Đỗ Thị Hạnh,0338414688,10791000,Chị Sơn,Khách hẹn lấy sau
233,MM012-0011,MM012,29-1-26,Lý Văn Phong,84981467007,12580000,Chị Cường,
234,MM016-0009,MM016,,HOÀNG QUANG ĐẠT,0850191134,7490000,Anh Ngân,Khách hẹn lấy sau
235,HD00012,MM012,08/07/2025,Nguyễn Quang Phương,0760 557 814,11970000,Chị Hiếu,Trả góp 0%
236,HD00015,MM019,01/12/2025,Nguyễn Quang Phương,84760557814,6490000,Chị Duy,
237,HD00011,MM022,13/01/2026,Trần Thị Long,0344466375,18146000,,
238,MM005-0007,MM005,18-8-26,Trần Thị Long,0344466375,4980000,Anh Tâm,
239,HD00011,MM001,13/07/2026,Vu Duc Nhung,0851880544,6490000,Chị Hiếu,Trả góp 0%
240,HD00011,MM010,14-8-25,Vu Duc Nhung,0851880544,33291000,Anh Khoa,Khách hẹn lấy sau
241,MM002-0009,MM002,29/11/2024,Hoàng Kim Mỹ,0374610337,4990000,Anh Tâm,Đã xuất hóa đơn VAT
242,MM003-0009,MM003,04/08/2026,Pham Kim Hoa,84864241875,9890100,Chị Hải,Đã xuất hóa đơn VAT
243,MM018-0010,MM018,5-4-26,Phạm Xuân Đạt,0911611410,180500,,
244,HD00015,MM021,2025.06.15,Lý Hoài Dung,0795 827 585,18990000,Chị Duy,Khách hẹn lấy sau
245,MM017-0005,MM017,29-11-25,HỒ TUẤN LÂM,0864856836,6490000,Chị Nga,Đã xuất hóa đơn VAT
246,MM020-0012,MM020,30/09/2024,Bui Thi Nhu,0399269054,27990000,Anh Duy,Trả góp 0%
247,HD00012,MM010,26/01/2026,Hồ Hoài Hiếu,84937486372,9990000,Anh Khoa,Đã xuất hóa đơn VAT
248,MM001-0012,MM001,25/12/2024,Trần Minh Huy,0856136043,31980000,Chị Trang,Khách hẹn lấy sau
249,HD00016,MM019,22/10/2025,Trần Minh Huy,0856 136 043,4990000,Chị Huy,
250,MM010-0013,MM010,27/11/2025,Bùi Ngọc Tú,0967001182,24831000,,Khách hẹn lấy sau
251,MM020-0013,MM020,21/04/2026,Hoang Anh Quyen,0380770378,7191000,Chị Hiếu,
252,MM011-0013,MM011,2026.07.30,Hoang Anh Quyen,,27990000,Anh Đạt,
253,MM005-0008,MM005,07/08/2025,Hoàng Anh Quyên,0380770378,216000,Anh Huy,Đã xuất hóa đơn VAT
254,HD00013,MM012,04/11/2025,Hoàng Anh Quyên,84380770378,8980000,Chị Sơn,Khách hẹn lấy sau
255,HD00016,MM021,18-5-25,Bùi Xuân Hải,0322449445,560500,Anh Yến,
256,HD00013,MM001,05/12/2024,Bùi Xuân Hải,0322449445,5391000,Anh Yến,Khách hẹn lấy sau
257,MM021-0017,MM021,27/09/2024,Bui Xuan Hai,0322449445,120000,Anh Yến,Trả góp 0%
